article,comment,created,likes,dislikes
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Gerade die holländischen Model S und X Fahrer werden da ganz geduldig auf die ID3s und Konsorten warten, bis die zu Ende geladen haben. Gruß",2021-11-01T15:04:42,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"niemand lädt sein Auto zu Ende, sondern nur so viel bis man weiter (Ziel, nächster charger) kommt.",2021-11-01T17:51:23,1,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Sagen wir mal auf 80%.
Aber warum sollte ein id.3 nen Umweg runter von der Autobahn fahren wenn er günstiger an der Autobahn lädt?
SuC werden für andere nur Notfalllader sein. Ausser es wäre preislich attraktiver...
Bin gespannt wieviel in DE werden. 40ct wohl kaum...",2021-11-01T18:59:15,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Ist ja auch immer ein wahnsinniger Umweg. Die Verkehrsführung an Raststätten ist manchmal so krude, dass die Abfahrt von der Autobahn auch nicht mehr länger ist.

Den Nachteil von Ladepunkten an Raststätten werden viele wahrscheinlich erst verstehen, wenn ihre Seite komplett dich und auf der anderen Seite viel frei ist. Dann darf man schick neben der Autobahn warten, während die Kunden aller anderen Ladeanbieter laden und ihre Pause vielleicht sogar in einem richtigen Restaurant verbringen dürfen.
Davon, dass das Konzept für die Ladeanbieter nicht funktionieren kann, wollen wir jetzt erstmal gar nicht reden.",2021-11-01T19:58:36,1,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Und auch das könnte bei Autos wie dem Up!, Zoe oder Honda e ziemlich lange dauern, den auch die werden es nutzen wollen.",2021-11-01T18:01:05,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,Bei den Superchargern sind solche Fahrzeuge durch Leistungsteilung Teil vom Konzept. Machen sie sich doch mal eher Sorgen um die meisten anderen Ladeanbieter. Dort werden solche Fahrzeuge auch laden.,2021-11-01T18:13:33,1,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,Klassischer Fall für einen Rückruf: VWe-Mobile haben die Ladebuchsen an der falschen Stelle.,2021-11-05T07:26:06,7,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Und in der Realität sieht es so aus, dass ein VW nicht nur einem Teslafahrer einen Platz streitig macht, sondern gleich zwei ;) 

Im Idealfall, können 4 VW einen SC mit 8 Ladestationen für einen Tesla unbenutzbar machen.",2021-11-05T08:00:46,3,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"vielleicht sollte man nur bestimmte ""REIHEN"" für alle freischalten und immer 1 Reihe für Teslas freihalten?

solange nicht sinnlos hin und her Marken gemixt werden würde das noch halbwegs gehen.",2021-11-05T11:36:17,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Wir können davon ausgehen dass Tesla die Ladesäulen eh anpassen wird. Es ist ja nicht so das keine Erfahrung gesammelt wurde.

Zumal die neuen Anforderungen für das bisherige System eh nicht mehr relevant sind. Tesla wird sich wieder als flexibler erweisen als sich das die hiesigen Betonköpfe vorstellen können. 😉",2021-11-06T11:03:57,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"was wird wohl schneller gehen, designt Tesla neue Stalls mit längeren Kabeln - müsste nicht mal den ganzen Lader ersetzen sondern nur den Stall - oder die anderen OEMs passen sich den SuC an .. ich würde auf Tesla tippen.",2021-11-05T07:57:13,2,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Schon mal diese dicken Kabel genauer angeschaut?!?
Die sind längst nicht so flexibel, wie ein Benzinschlauch zum Tanken.... und wo soll das längere Kabel dann hin, wenn der Stecker in die Ladestation gehängt wird.... am Boden irgendwo... evtl. sogar auf dem Platz, wo man drauf fahren kann?!?
Soooo einfach ist die Lösung dann doch wieder nicht.


Ein anderer Lösungsansatz wäre, dass man die Kabel nur in die Richtung nehmen kann, wie es ein Tesla benötigt. Fremdlader müssen dann ein eigenes Verlängerungskabel mitbringen. Wem das nicht passt, soll anderswo laden gehen.


Ich frage mich da, warum sich Tesla mit ihrer einzigartigen guten Infrastruktur den Fremdmarken anpassen soll.... wenn Fremdmarken den Luxus von den Tesla Supercharger geniessen wollen, sollten sie gefälligst auch etwas dafür tun.",2021-11-05T08:25:55,1,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Es hat schon einen guten Grund warum Verlängerungskabel nicht erlaubt sind.
Und wieso genießen? Wo denkst du das 400.000 BEV in Deutschland jetzt schon laden? 
Nicht am SuC jedenfalls. Scheint bisher keiner zu brauchen. Von daher wird das viel zuviel überbewertet.... 

Tesla will ja mehr Geld verdienen dadurch. 
Wenn nicht sollen sies doch einfach lassen....",2021-11-05T16:13:16,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,Eine Verkennung der Situation. Die Fremdfabrikate haben beim Laden noch viele Probleme. Und die Gewinnsituation von Tesla wird das nicht so irre beeinflussen..... Wenn sie die Mehreinnahmen in neue sc Standorte packen soll's mir recht sein....,2021-11-05T20:22:31,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,,2021-11-05T10:04:32,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Da bin ich gespannt, ob es eine Anpassung gibt.
Bisher war TESLA eher weniger beeindruckt davon, was europäische Autobauer für BEV bauen (so mein Eindruck).",2021-11-05T10:09:13,4,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Jain - auf CCS hat Tesla umgestellt. Ich denke, dass sie da ganz pragmatisch entscheiden werden. Hauptsache Mission erfüllen und wirtschaftlich erfolgreich sein.",2021-11-05T11:00:47,2,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"CCS war eine Anpassung in Richtung ""Tesla-Fahrer können an der europäischen Ladeinfrastruktur laden"".
Eine Anpassung in Richtung Fremdfabrikate ist vielleicht nochmal etwas anderes.
Aber, wir werden sehen.
Mir (sehr persönlich) wäre eine Anordnung von (einem Teil) der Ladesäulen für Hängerfahrer wichtiger.",2021-11-05T11:04:54,1,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,Lol.  Die müssen gar nix. VW und co sollten dankbar sein...,2021-11-05T20:18:23,1,1
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,MMD :)),2021-11-05T09:23:55,0,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Offensichtlich ist die Nutzung der SuC heute schon auf einem Niveau, dass es vermuten läßt, das Tesla damit deutlich in die Gewinnzone kommt.  Noch ist Grünheide nicht am Start   und auch noch nicht, ist der Ausbau ( verdreifachen der Ladestationen) richtig angelaufen. 

Die Expansion ins Ladenetz ist mindestens genau <u>Kriegs</u> entscheidend, wie die beiden neuen GF in Texas und Berlin . 

So viel Marge kann Tesla bei der Fertigung eines Autos niemals einfahren, wie an einem neuen SuC beim Stromverkauf.  Klar, die nötigen Finanzmittel sind erheblich. Aber die Basis (stehendes Netz)  generiert ja jetzt schon reichlich Cashflow . 

Auch hier ist das Tempo alles, wie jeder nicht nur beim Einstieg von z.B, BP ins Geschäft sehen kann.  Der Taiwaner mit seinen Wechsel Akkus wird jetzt schon jede Woche 1 Mrd. $ höher bewertet und  mir wird langsam schwindlig ( Ich muss die Aktien haben) . 

<u>Warum? </u>
Weil es ihm gelungen ist, <b>Den </b>Standart zu etablieren. 

Genau das macht im Moment Tesla mit seinen SuC. 
Expansion in Nordamerika, China und Europa 

Wenn die Nutzerzahlen der App groß genug sind, warum nicht dann andere Netze (Regional ) aufkaufen?
Tesla kann jedes Netz übernehmen und den Gesellschaftern locker 100% Aufschlag bieten ( mit Aktien bezahlen)  da gegen schaut VW, BP & Co. alt aus.  Den Aufschlag kann Tesla in unter 3 Jahren locker einspielen, dank seiner eigenen Autos und den Nutzern der App. 

Wie viel Umsatz macht BP Aral an seinen Tankstellen nur in Europa?  
Die Marge von Tesla ist deutlich höher, als die der Ölkonzerne.  Oder anders formuliert: jeder € der Investiert wird, kommt innerhalb von 10 Jahren   7 bis ? mal wieder rein.",2021-11-05T13:32:36,4,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Die Frage ist eher, ob Tesla es wirklich nötig haben wird den Wettbewerb aufzukaufen, oder einfach die Überbleibsel einsammelt welche in das eigene SuC Netz passen.

Da das SuC Netz von Anfang an als Costcenter ausgelegt war, eben eine strategische Investition, ist der nun erfolgende Ausbau nichts weiter als die nächste Stufe dieser Strategie. Mit der neuen Kundschaft kann man den Ausbau noch schneller voran treiben und nebenbei auch noch Profite erzielen.

Da man in Deutschland Tesla sein SuC Netz per Gesetz sauer machen wollte, ist es nur logisch dass sie jetzt aus der Not eine Tugend machen.

Es zeigt wie weit Tesla die Nase vorn hat, und wie hoffnungslos der Rest hinter ihnen zurück liegt.

VW gebe ich gute Chancen, aber Merc & BMW, da habe ich erhebliche Bedenken. Die dürften früher oder später einen ähnlichen Weg wie Stellantis einschlagen und sich in die Bedeutungslosigkeit fusionieren.

Meine Vermutung ist, das wir nie wieder einen erholten Automarkt sehen werden, da wird auch die eine oder andere Umsatzspitze letztendlich nichts dran ändern. Die Zeit der Auto Dominanz läuft langsam ab. Das hat nicht nur mit den E-Bikes zu tun, sondern einem Wandel der Mobilität als solches.",2021-11-06T10:53:51,1,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Das Zauberwort ist. Standorte.  
Einige Anbieter konnten sich strategisch super Standorte sicher, sind aber dauerhaft viel zu klein. 
Alles unterhalb von 10.000 Ladestellen, ist heute schon zu winzig.  (Europa) 

ich gehe davon aus, dass Tesla und ein zwei andere, auf > 1 Mill. Ladestellen wachsen werden .",2021-11-06T11:04:21,1,0
Erste Tests mit fremden Elektroautos an offenem Tesla-Supercharger > teslamag.de,"Da stimme ich vollumfänglich zu!

Das Öffnen von gerademal 10 (?) Ladestandorten und die Einführung der Fremdlader-App lassen da sehr viel für die Zukunft annehmen. 

Ich vermute, viele Aktionäre sehen das ähnlich und werden einen Teufel tun, aktuell groß Gewinne mitzunehmen.",2021-11-05T15:43:51,0,0
